EAN|NAME|DESCRIPTION|BRAND|REFERENCE_WEIGHT|REFERENCE_VOLUME|PRODUCT_TYPE|UNIT_NAME|ACTIVE
3300000000001|Pommes Golden|Pommes fraîches bio|Brand A|1.000|2.500|WEIGHT|kg|true
3300000000002|Lait UHT 1L|Lait demi-écrémé (marque socle)|Pâturages|1.000|1.000|UNIT|L|true
3300000000003|Baguette Tradition|Pain de tradition|Brand C|0.250|0.600|UNIT|kg|true
3300000000004|Café Grains 500g|Café moulu arabica (marque socle)|Mäy|0.500|1.250|UNIT|kg|true
3300000000005|Pâtes Penne 500g|Pâtes alimentaires|Brand E|0.500|1.250|WEIGHT|kg|true
3300000000006|Huile d'Olive 1L|Huile vierge extra|Brand F|1.000|1.000|UNIT|L|true
3300000000007|Eau Minérale 1.5L|Eau de source (marque socle)|Paquito|1.500|1.500|UNIT|L|true
3300000000008|Jambon Blanc 100g|Tranches de jambon|Brand H|0.100|0.250|WEIGHT|kg|true
3300000000009|Beurre Doux 250g|Motte de beurre|Brand I|0.250|0.600|WEIGHT|kg|true
3300000000010|Yaourt Nature 4x125g|Pots de yaourt (marque socle)|Pâturages|0.500|1.250|UNIT|kg|true
3300000000011|Coca-Cola 1.5L|Boisson gazeuse|Brand K|1.500|1.500|UNIT|L|true
3300000000012|Orangina 1.25L|Boisson aux agrumes|Brand L|1.250|1.250|UNIT|L|true
3300000000013|Biscuits Chocolat 200g|Paquet de biscuits (marque socle)|Fiorini|0.200|0.500|UNIT|kg|true
3300000000014|Chips Classiques 150g|Chips (rayon F&L pour la démo)|Brand N|0.150|0.400|UNIT|kg|true
3300000000015|Sauce Tomate 500g|Sauce bolognaise|Brand O|0.500|1.250|UNIT|kg|true
3300000000016|Purée de Pomme de Terre 500g|Purée instantanée|Brand P|0.500|1.250|UNIT|kg|true
3300000000017|Concombre|Légume frais|Brand Q|0.300|0.750|WEIGHT|kg|true
3300000000018|Tomates Cerises 500g|Tomates rondes|Brand R|0.500|1.250|WEIGHT|kg|true
3300000000019|Oeufs Bio 6 unités|Oeufs frais gros|Brand S|0.360|0.900|UNIT|kg|true
3300000000020|Poulet Rôti 1.2kg|Poulet fermier|Brand T|1.200|3.000|WEIGHT|kg|true
3300000000021|Saumon Fume 200g|Tranches de saumon|Brand U|0.200|0.500|WEIGHT|kg|true
3300000000022|Riz Basmati 1kg|Riz long grain|Brand V|1.000|2.500|UNIT|kg|true
3300000000023|Lentilles Vertes 500g|Légumes secs|Brand W|0.500|1.250|UNIT|kg|true
3300000000024|Miel d'Acacia 500g|Pot de miel|Brand X|0.500|1.250|UNIT|kg|true
3300000000025|Lessive Liquide 1.5L|Lessive linge|Brand Y|1.500|1.500|UNIT|L|true
3300000000026|Eponge Vaisselle 3 unités|Eponges abrasives|Brand Z|0.100|0.250|UNIT|kg|true
3300000000027|Coton Bio 500g|Disques de coton (marque socle)|Labell|0.500|1.250|UNIT|kg|true
3300000000028|Piles AA 4 unités|Piles alcalines|Brand B1|0.080|0.200|UNIT|kg|true
3300000000029|Chewing-Gum Menthe|Pommes de menthe|Brand C1|0.050|0.125|UNIT|kg|true
3300000000030|Dentifrice Menthe 100ml|Tube dentifrice (marque socle)|Labell|0.100|0.100|UNIT|L|true
3300000000031|Poêle Antiadhésive 28cm|Poêle fonte alum|Tefal|0.800|0.000|UNIT|pcs|true
3300000000032|Casserole Inox 20cm|Casserole acier inox|Staub|1.200|0.000|UNIT|pcs|true
3300000000033|Set de Couteaux Chef|Couteaux acier inox|Sabatier|0.500|0.000|UNIT|pcs|true
3400000000001|Yaourt Nature 4x125g|Yaourts nature|Fiorini|0.500|1.250|UNIT|kg|true
3400000000002|Gel Douche Amande 250ml|Gel douche surgras|Labell|0.250|0.250|UNIT|L|true
3400000000003|Thé Vert Bio 20 sachets|Thé vert de Chine|Mäy|0.040|0.100|UNIT|kg|true
3400000000010|Couches Taille 3 x54|Couches 4-9 kg||1.800|0.000|UNIT|pcs|true
3400000000011|Petit Pot Carotte 2x130g|Purée de carottes dès 4 mois||0.260|0.650|UNIT|kg|true
3400000000020|Jambon Supérieur x4|Jambon cuit supérieur|Monique Ranou|0.160|0.400|UNIT|kg|true
3400000000021|Brioche Tressée 500g|Brioche au beurre|Chabrior|0.500|1.250|UNIT|kg|true
3400000000022|Torsades 500g|Pâtes alimentaires|Saint Eloi|0.500|1.250|UNIT|kg|true
3400000000030|Serviettes Hygiéniques x16|Serviettes nuit (40 % le 28)|Labell|0.100|0.250|UNIT|pcs|true
3400000000040|Croquettes Chat 1.5kg|Croquettes au poulet||1.500|3.750|UNIT|kg|true
3400000000050|Vin Rouge Bordeaux 75cl|AOC Bordeaux (exclu Petits Budgets)||0.750|1.200|UNIT|L|true
3400000000060|Carte Cadeau 50 €|Carte cadeau (exclusion CGU)||0.010|0.010|UNIT|pcs|true
3400000000070|Chips Lay's Nature 145g|Chips nature (défi)|Lay's|0.145|0.400|UNIT|kg|true
