CODE|TYPE|LABEL|VALID_FROM|VALID_TO|PRIORITY|EXCLUSIVE|MONTHLY_CAP_PER_CARD|ACTIVE|ADVANTAGE_TYPE|ADVANTAGE_CATEGORY|SPECIFICATION
SOCLE_5_MARQUES|BRAND_TIERED_EARN|Marques du quotidien (5 marques)|2026-05-18T00:00:00||100|true||true|PRODUCT||{"scope":{"include":{"brands":["Pâturages","Paquito","Fiorini","Labell","Mäy"]}},"minEligibleItems":3,"baseRate":0.05,"boostedRate":0.10,"visitThreshold":4}
SOCLE_4_MARQUES|BRAND_TIERED_EARN|Marques du quotidien (4 marques, historique clos)|2022-07-01T00:00:00|2026-05-18T00:00:00|100|true||true|PRODUCT||{"scope":{"include":{"brands":["Pâturages","Paquito","Fiorini","Labell"]}},"minEligibleItems":3,"baseRate":0.05,"boostedRate":0.10,"visitThreshold":4}
FL_WEEKEND|CALENDAR_FAMILY_EARN|Fruits & Légumes du week-end|2026-01-01T00:00:00||90|true||true|PRODUCT||{"scope":{"include":{"families":["F_L"]}},"rate":0.10,"activeDays":["SATURDAY","SUNDAY"]}
COMMUNITY_BABIES|COMMUNITY_EARN|Avantage Bébés|2026-01-01T00:00:00||80|true|30.00|true|PRODUCT||{"communityCode":"BABIES","scope":{"include":{"families":["RAYON_BEBE"]}},"rate":0.10}
COMMUNITY_LARGE_FAMILIES|COMMUNITY_EARN|Avantage Familles Nombreuses|2026-05-18T00:00:00||80|true|20.00|true|PRODUCT||{"communityCode":"LARGE_FAMILIES","scope":{"include":{"brands":["Monique Ranou","Chabrior","Saint Eloi"]}},"rate":0.10}
COMMUNITY_STUDENTS|COMMUNITY_EARN|Avantage Étudiants|2026-01-01T00:00:00||80|true|20.00|true|PRODUCT||{"communityCode":"STUDENTS","scope":{"include":{"brands":["Labell","Paquito","Pâturages","Fiorini","Mäy"]},"exclude":{"brands":["Top Budget","Merci"]}},"rate":0.10}
COMMUNITY_SMALL_BUDGETS|COMMUNITY_EARN|Avantage Petits Budgets|2026-01-01T00:00:00||70|true|20.00|true|PRODUCT||{"communityCode":"SMALL_BUDGETS","scope":{"wholeStore":true,"exclude":{"families":["ALCOOL"]}},"rate":0.05}
STUDENTS_HYGIENE_28|MONTHLY_DATE_EARN|40% hygiène féminine Labell le 28 (Étudiants)|2026-01-01T00:00:00||110|true|10.00|true|PRODUCT||{"dayOfMonth":28,"communityCode":"STUDENTS","scope":{"include":{"families":["HYGIENE_FEM"]}},"rate":0.40}
CGU_EXCLUSION|PROGRAM_EXCLUSION|Exclusions du programme (CGU)|2026-01-01T00:00:00||1000|false||true|||{"scope":{"include":{"families":["CARTES_CADEAUX","LIVRES","PRESSE","GAZ","CARBURANTS"]}}}
ECOUPON_DEMO|ECOUPON_EARN|E-coupon du mois (animalerie)|2026-08-01T00:00:00|2026-10-01T00:00:00|85|true||true|PRODUCT||{"scope":{"include":{"families":["RAYON_ECOUPON"]}},"rate":0.20}
CHALLENGE_DEMO|CHALLENGE_EARN|Mes défis gagnants (Lay's)|2026-08-01T00:00:00|2026-10-01T00:00:00|60|true||true|PRODUCT||{"scope":{"include":{"brands":["Lay's"]}},"tiers":[{"threshold":5.00,"reward":1.00},{"threshold":6.00,"reward":1.50},{"threshold":8.00,"reward":2.00,"missionRequired":true}]}
